,age,Medu,Fedu,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_,sex_,address_,famsize_,Pstatus_,Mjob_,Fjob_,reason_,schoolsup_,famsup_,paid_,activities_,nursery_,higher_,internet_,romantic_
17,16,3,3,mother,3,2,0,5,3,2,1,1,4,4,8,10,10,0,0,1,0,1,2,2,3,1,1,0,1,1,1,0,0
18,17,3,2,mother,1,1,3,5,5,5,2,4,5,16,6,5,5,0,1,1,0,1,3,3,0,0,1,0,1,1,1,1,0
19,16,4,3,father,1,1,0,3,1,3,1,3,5,4,8,10,10,0,1,1,1,1,1,2,1,0,0,1,1,1,1,1,0
20,15,4,3,mother,1,2,0,4,4,1,1,1,1,0,13,14,15,0,1,1,0,1,4,2,3,0,0,0,0,1,1,1,0
21,15,4,4,father,1,1,0,5,4,2,1,1,5,0,12,15,15,0,1,1,0,1,1,1,2,0,1,1,0,1,1,1,0
22,16,4,2,mother,1,2,0,4,5,1,1,3,5,2,15,15,16,0,1,1,1,1,4,2,0,0,0,0,1,1,1,1,0
23,16,2,2,mother,2,2,0,5,4,4,2,4,5,0,13,13,12,0,1,1,1,1,2,2,3,0,1,0,1,1,1,1,0
24,15,2,4,mother,1,3,0,4,3,2,1,1,5,2,10,9,8,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,0
25,16,2,2,mother,1,1,2,1,2,2,1,3,5,14,6,9,8,0,0,1,0,1,3,3,1,0,1,1,0,0,1,1,0
26,15,2,2,mother,1,1,0,4,2,2,1,2,5,2,12,12,11,0,1,1,0,1,2,2,1,0,1,1,0,1,1,1,0
27,15,4,2,mother,1,1,0,2,2,4,2,4,1,4,15,16,15,0,1,1,0,1,1,3,2,0,0,1,0,1,1,1,0
28,16,3,4,mother,1,2,0,5,3,3,1,1,5,4,11,11,11,0,1,1,1,0,3,2,1,1,1,0,1,1,1,1,0
29,16,4,4,mother,1,2,0,4,4,5,5,5,5,16,10,12,11,0,1,1,0,1,4,4,1,0,1,1,1,1,1,1,1
30,15,4,4,mother,1,2,0,5,4,2,3,4,5,0,9,11,12,0,1,1,0,1,1,3,1,0,1,1,0,0,1,1,0
31,15,4,4,mother,2,2,0,4,3,1,1,1,5,0,17,16,17,0,1,1,0,1,3,3,3,0,1,0,1,1,1,1,0
32,15,4,3,mother,1,2,0,4,5,2,1,1,5,0,17,16,16,0,1,0,0,1,4,0,0,0,1,0,1,1,1,1,1
33,15,3,3,mother,1,2,0,5,3,2,1,1,2,0,8,10,12,0,1,1,1,1,2,2,0,0,0,0,1,0,1,1,0
34,16,3,2,mother,1,1,0,5,4,3,1,1,5,0,12,14,15,0,1,1,0,1,2,2,1,0,1,1,0,0,1,1,0
35,15,2,3,father,2,1,0,3,5,1,1,1,5,0,8,7,6,0,0,1,0,1,2,2,2,0,1,0,1,1,1,0,0
36,15,4,3,mother,1,3,0,5,4,3,1,1,4,2,15,16,18,0,1,1,1,1,4,3,1,0,1,0,1,1,1,1,0
37,16,4,4,mother,2,3,0,2,4,3,1,1,5,7,15,16,15,0,1,0,0,0,2,4,3,0,1,0,1,1,1,1,1
38,15,3,4,mother,1,3,0,4,3,2,1,1,5,2,12,12,11,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,0
39,15,2,2,mother,1,1,0,4,3,1,1,1,2,8,14,13,13,0,0,0,0,1,0,2,3,1,1,1,1,1,1,0,0
40,16,2,2,mother,2,2,1,3,3,3,1,2,3,25,7,10,11,0,0,1,1,1,2,2,1,0,1,0,1,0,1,1,1
41,15,4,4,other,1,1,0,5,4,3,2,4,5,8,12,12,12,0,1,1,1,1,4,2,1,0,1,0,0,0,1,1,1
42,15,4,4,father,1,2,0,4,3,3,1,1,5,2,19,18,18,0,1,1,0,1,3,4,0,0,1,0,1,1,1,1,0
43,15,2,2,father,1,1,0,5,4,1,1,1,1,0,8,8,11,0,1,1,0,1,3,3,0,1,1,0,0,1,1,1,0
44,16,2,2,father,2,2,1,4,3,3,2,2,5,14,10,10,9,0,0,1,1,1,2,0,0,1,0,0,1,1,1,1,0
45,15,4,3,mother,1,2,0,5,2,2,1,1,5,8,8,8,6,0,0,1,1,0,2,2,0,1,1,1,1,1,1,1,1
46,16,3,3,mother,1,2,0,2,3,5,1,4,3,12,11,12,11,0,0,1,1,0,2,3,1,0,1,0,0,1,1,1,0
47,16,4,3,mother,1,4,0,4,2,2,1,1,2,4,19,19,20,0,1,1,0,1,1,3,3,0,0,0,1,1,1,1,0
48,15,4,2,mother,1,2,0,4,3,3,2,2,5,2,15,15,14,0,1,1,0,1,4,2,1,0,1,1,0,1,1,0,0
49,15,4,4,father,1,2,1,4,4,4,1,1,3,2,7,7,7,0,0,1,0,1,3,4,2,1,1,0,1,0,1,1,0
50,16,2,2,mother,3,2,0,4,3,3,2,3,4,2,12,13,13,0,0,1,1,1,3,3,0,0,1,1,0,1,1,1,0
51,15,4,2,mother,1,2,0,4,3,3,1,1,5,2,11,13,13,0,0,1,1,1,1,2,2,0,1,1,0,1,1,1,0
52,15,4,2,father,2,1,1,5,5,5,3,4,5,6,11,11,10,0,1,1,1,0,1,1,2,0,0,0,0,1,1,0,0
53,15,4,4,mother,1,1,0,3,3,4,2,3,5,0,8,10,11,0,0,1,0,1,3,3,0,1,1,1,0,1,1,1,0
54,15,3,3,mother,1,1,0,5,3,4,4,4,1,6,10,13,13,0,0,1,1,0,2,2,2,0,0,1,0,1,1,1,0
55,16,2,1,mother,1,2,0,5,3,4,1,1,2,8,8,9,10,0,0,1,0,0,2,2,2,0,0,1,1,1,1,1,1
56,15,4,3,mother,1,2,0,4,3,2,1,1,1,0,14,15,15,0,0,1,0,0,3,3,3,0,1,1,1,1,1,1,0
57,15,4,4,mother,1,2,0,3,2,2,1,1,5,4,14,15,15,0,1,1,0,1,4,1,3,0,1,0,1,1,1,0,0
58,15,1,2,father,1,2,0,4,3,2,1,1,5,2,9,10,9,0,1,1,1,1,2,0,1,1,1,0,1,1,1,1,0
59,16,4,2,mother,1,2,0,4,2,3,1,1,5,2,15,16,16,0,0,1,0,1,3,2,0,0,1,0,0,1,1,1,0
60,16,4,4,mother,1,2,0,2,4,4,2,3,4,6,10,11,11,0,0,0,0,1,1,4,2,0,1,0,1,1,1,0,0
61,16,1,1,father,4,1,0,5,5,5,5,5,5,6,10,8,11,0,0,1,0,1,3,3,0,1,1,0,1,0,1,1,1
62,16,1,2,father,1,2,0,4,4,3,1,1,1,4,8,10,9,0,0,1,1,1,2,3,3,1,0,0,1,1,1,1,0
63,16,4,3,mother,1,3,0,3,4,4,2,4,4,2,10,9,9,0,0,1,0,1,4,1,1,1,1,1,1,1,1,1,0
64,15,4,3,father,1,2,0,4,4,4,2,4,2,0,10,10,10,0,0,1,1,1,3,3,3,1,0,0,1,1,1,1,1
65,16,4,3,mother,3,2,0,5,4,3,1,2,1,2,16,15,15,0,0,1,1,1,4,3,0,0,1,0,1,1,1,1,0
66,15,4,4,mother,1,4,0,1,3,3,5,5,3,4,13,13,12,0,1,1,0,0,2,3,3,0,1,0,1,0,1,1,1
67,16,3,1,mother,1,4,0,4,3,3,1,2,5,4,7,7,6,0,0,1,0,1,3,2,0,1,1,1,0,1,1,1,0
68,15,2,2,mother,2,2,0,4,1,3,1,3,4,2,8,9,8,0,0,0,1,1,1,3,3,1,1,1,0,1,1,1,0
69,15,3,1,father,2,4,0,4,4,2,2,3,3,12,16,16,16,0,0,0,1,1,2,2,3,0,1,0,0,0,1,1,0
70,16,3,1,father,2,4,0,4,3,2,1,1,5,0,13,15,15,0,1,1,0,1,2,2,3,0,1,1,0,1,1,1,0
71,15,4,2,mother,1,4,0,3,3,3,1,1,3,0,10,10,10,0,1,1,0,1,2,2,0,0,0,0,0,1,1,1,0
72,15,1,1,mother,1,2,2,3,3,4,2,4,5,2,8,6,5,0,0,0,0,1,2,2,3,1,1,0,0,0,1,1,1
73,16,3,1,mother,1,1,0,5,3,2,2,2,5,2,12,12,14,0,1,1,0,1,2,2,3,0,0,0,1,1,1,0,0
74,16,3,3,mother,1,2,0,4,3,3,2,4,5,54,11,12,11,0,0,1,0,1,2,3,1,1,1,1,1,1,1,1,0
75,15,4,3,mother,1,2,0,4,3,3,2,3,5,6,9,9,10,0,1,1,0,1,4,2,1,0,1,1,1,1,1,1,0
76,15,4,0,mother,2,4,0,3,4,3,1,1,1,8,11,11,10,0,1,1,0,1,4,2,0,0,0,0,1,1,1,1,0
77,16,2,2,mother,1,4,0,5,2,3,1,3,3,0,11,11,11,0,0,1,0,1,2,2,3,0,0,1,0,1,1,1,1
78,17,2,1,mother,2,1,3,4,5,1,1,1,3,2,8,8,10,0,1,1,0,1,2,2,1,1,1,0,1,1,0,1,0
79,16,3,4,mother,1,2,0,2,4,3,1,2,3,12,5,5,5,0,0,1,0,1,0,2,0,0,1,0,0,1,1,1,0
80,15,2,3,father,1,1,0,3,2,2,1,3,3,2,10,12,12,0,1,1,0,1,2,3,0,1,1,1,1,0,1,1,1
81,15,2,3,mother,1,3,0,5,3,2,1,2,5,4,11,10,11,0,1,1,0,1,2,2,1,1,0,1,0,0,1,1,0
82,15,3,2,mother,1,2,0,4,4,4,1,1,5,10,7,6,6,0,0,1,1,1,3,2,3,0,1,1,0,1,1,1,0
83,15,2,2,mother,2,2,0,5,3,3,1,3,4,4,15,15,15,0,1,1,1,1,3,3,1,0,0,1,1,1,1,1,0
84,15,1,1,father,1,2,0,4,3,2,2,3,4,2,9,10,10,0,0,1,0,1,2,2,1,0,1,0,1,0,1,1,0
85,15,4,4,father,2,2,2,4,4,4,2,3,5,6,7,9,8,0,0,1,0,1,3,3,3,0,0,1,0,1,1,1,1
86,16,2,2,mother,1,2,0,4,3,4,1,2,2,4,8,7,6,0,0,1,1,1,0,2,0,0,1,0,0,1,1,0,0
87,15,4,2,mother,1,3,0,5,3,3,1,3,1,4,13,14,14,0,0,1,0,1,2,2,3,0,1,0,1,1,1,1,0
88,16,2,2,father,2,2,1,4,4,2,1,1,3,12,11,10,10,0,1,1,0,1,3,2,3,0,0,1,1,0,1,1,0
89,16,4,4,mother,1,2,0,4,1,3,3,5,5,18,8,6,7,0,1,1,1,0,4,1,3,0,1,0,0,1,1,0,0
90,16,3,3,mother,1,3,0,4,3,3,1,3,4,0,7,7,8,0,0,1,0,1,2,2,1,0,1,1,0,1,1,1,1
91,15,4,3,mother,1,1,0,4,5,5,1,3,1,4,16,17,18,0,0,1,0,1,3,2,3,0,0,1,1,1,1,1,0
92,16,3,1,father,1,2,0,3,3,3,2,3,2,4,7,6,6,0,0,1,1,1,2,2,1,1,1,0,0,1,1,0,0
93,16,4,2,mother,2,2,0,5,3,3,1,1,1,0,11,10,10,0,0,1,0,1,4,3,1,0,1,1,1,1,1,1,0
94,15,2,2,mother,1,4,0,4,3,4,1,1,4,6,11,13,14,0,1,1,1,1,3,1,3,0,1,0,1,1,1,1,0
95,15,1,1,mother,2,4,1,3,1,2,1,1,1,2,7,10,10,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0
96,16,4,3,mother,2,1,0,3,3,3,1,1,4,2,11,15,15,0,1,0,0,1,3,2,3,1,1,0,1,0,1,1,0
97,16,2,1,mother,1,2,0,4,3,5,1,1,5,2,8,9,10,0,0,1,0,1,2,2,0,0,1,1,0,1,1,0,1
98,16,4,4,mother,1,1,0,5,3,4,1,2,1,6,11,14,14,0,0,1,0,1,2,2,3,0,0,0,1,0,1,1,0
99,16,4,3,mother,1,3,0,5,3,5,1,1,3,0,7,9,8,0,0,1,0,1,2,0,0,1,1,1,0,1,1,1,0
100,16,4,4,mother,1,1,0,4,5,5,5,5,4,14,7,7,5,0,1,1,0,1,3,3,2,1,1,1,1,1,1,1,0
101,16,4,4,father,1,3,0,4,4,3,1,1,4,0,16,17,17,0,1,1,0,1,3,4,2,0,1,0,1,1,1,1,1
102,15,4,4,mother,1,1,0,5,3,3,1,1,5,4,10,13,14,0,1,1,0,1,3,2,0,0,1,0,1,0,1,1,0
103,15,3,2,mother,2,2,0,4,3,5,1,1,2,26,7,6,6,0,0,1,0,1,3,2,1,1,1,1,0,1,1,1,0
104,15,3,4,mother,1,2,0,5,4,4,1,1,1,0,16,18,18,0,1,1,0,0,3,2,0,0,1,1,1,1,1,1,0
105,15,3,3,father,1,4,0,4,3,3,1,1,4,10,10,11,11,0,0,1,0,0,2,1,3,1,0,0,0,1,1,0,0
106,15,2,2,mother,1,4,0,5,1,2,1,1,3,8,7,8,8,0,0,1,0,1,2,2,0,1,1,1,0,1,1,1,0
107,16,3,3,father,1,3,0,5,3,3,1,1,5,2,16,18,18,0,1,1,0,1,3,2,1,0,1,0,1,1,1,1,0
108,15,4,4,father,4,4,0,1,3,5,3,5,1,6,10,13,13,0,1,0,0,1,2,2,1,0,1,1,1,1,1,1,1
109,16,4,4,mother,1,3,0,5,4,5,1,1,4,4,14,15,16,0,0,1,1,1,1,1,2,0,1,1,1,1,1,1,1
110,15,4,4,mother,1,1,0,5,5,3,1,1,4,6,18,19,19,0,1,1,1,0,4,4,0,0,0,0,1,1,1,1,0
111,16,3,3,father,1,3,1,4,1,2,1,1,2,0,7,10,10,0,0,0,0,1,3,2,3,1,1,0,1,1,1,1,0
112,16,2,2,mother,1,2,1,3,1,2,1,1,5,6,10,13,13,0,0,1,0,1,0,2,1,1,0,0,1,1,1,1,0
113,15,4,2,mother,1,1,0,3,5,2,1,1,3,10,18,19,19,0,1,1,1,1,4,2,0,0,0,0,0,1,1,1,0
114,15,2,1,mother,1,2,0,5,4,2,1,1,5,8,9,9,9,0,1,0,0,1,1,3,3,0,0,0,1,1,1,1,1
115,16,4,4,father,1,2,0,5,4,4,1,2,5,2,15,15,16,0,1,1,0,1,4,4,0,0,1,0,1,1,1,1,0
116,15,4,4,father,2,2,0,4,4,3,1,1,2,2,11,13,14,0,1,1,0,1,2,4,3,0,1,0,1,1,1,0,0
117,16,3,3,father,2,1,0,5,4,2,1,1,5,0,13,14,13,0,1,1,0,1,2,3,1,0,0,0,1,1,1,1,0
118,17,1,3,father,3,2,1,5,2,4,1,4,5,20,9,7,8,0,1,0,0,1,2,2,0,0,1,0,1,1,1,1,0
119,15,3,4,father,1,1,0,3,4,3,1,2,4,6,14,13,13,0,1,1,0,1,2,2,3,0,0,0,0,1,1,1,0
120,15,1,2,mother,1,2,0,3,2,3,1,2,1,2,16,15,15,0,0,1,0,1,0,3,0,0,0,0,0,0,1,1,0
121,15,2,2,father,1,4,0,5,5,4,1,2,5,6,16,14,15,0,1,1,0,1,3,3,1,0,1,1,1,1,1,1,0
122,16,2,4,father,2,2,0,4,2,2,1,2,5,2,13,13,13,0,0,1,1,1,2,1,0,0,1,1,1,1,1,1,1
123,16,4,4,mother,1,1,0,3,4,4,1,4,5,18,14,11,13,0,1,1,0,1,1,2,0,0,1,0,1,1,1,1,0
124,16,2,2,mother,1,2,0,5,4,4,1,1,5,0,8,7,8,0,0,1,0,1,2,2,1,0,0,1,0,1,1,1,1
125,15,3,4,father,1,1,0,5,5,5,3,2,5,0,13,13,12,0,1,1,0,1,3,3,1,1,0,0,0,1,1,1,0
126,15,3,4,mother,1,2,0,5,3,2,1,1,1,0,7,10,11,0,0,1,1,0,2,2,1,1,0,0,1,1,1,1,1
127,19,0,1,other,1,2,3,3,4,2,1,1,5,2,7,8,9,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0
128,18,2,2,mother,1,1,2,3,3,3,1,2,4,0,7,4,0,0,1,0,0,1,3,2,3,0,1,0,1,1,1,1,0
129,16,4,4,mother,1,1,0,3,5,5,2,5,4,8,18,18,18,0,1,0,0,1,4,4,0,0,0,1,1,1,1,1,0
130,15,3,4,father,2,3,2,4,2,2,2,2,5,0,12,0,0,0,0,0,0,1,3,4,0,0,1,0,0,1,1,1,1
131,15,1,1,mother,3,1,0,4,3,3,1,2,4,0,8,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,1,1,1
132,17,2,2,father,1,1,0,3,4,4,1,3,5,12,10,13,12,0,0,1,1,1,2,2,0,0,1,0,0,1,1,1,1
133,16,3,4,father,1,1,0,3,2,1,1,4,5,16,12,11,11,0,0,1,0,0,3,2,0,0,0,0,0,1,1,1,0
134,15,3,4,mother,4,2,0,5,3,3,1,1,5,0,9,0,0,0,1,0,0,1,0,4,0,0,1,0,0,1,1,0,1
135,15,4,4,mother,1,3,0,4,3,3,1,1,5,0,11,0,0,0,0,1,0,1,3,0,0,0,1,0,1,1,1,1,1
136,17,3,4,mother,3,2,0,5,4,5,2,4,5,0,10,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0
137,16,3,3,other,2,1,2,4,3,2,1,1,5,0,4,0,0,0,0,1,0,0,2,2,0,0,1,0,1,0,1,1,1
138,16,1,1,mother,1,2,1,4,4,4,1,3,5,0,14,12,12,0,1,1,1,1,3,2,0,0,0,0,0,1,1,0,1
139,15,4,4,mother,2,1,0,4,3,2,1,1,5,0,16,16,15,0,0,1,0,1,4,4,0,0,0,0,1,1,1,1,0
140,15,4,3,father,2,4,0,2,2,2,1,1,3,0,7,9,0,0,1,1,0,1,4,3,0,1,1,0,0,1,1,1,0
141,16,2,2,father,2,1,2,2,3,3,2,2,2,8,9,9,9,0,1,1,1,1,3,3,3,0,1,0,1,1,1,1,0
142,15,4,4,mother,1,3,0,4,2,2,1,1,5,2,9,11,11,0,0,1,0,1,4,3,0,0,1,1,1,1,1,1,0
143,16,1,1,mother,1,1,0,3,4,4,3,3,1,2,14,14,13,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
144,17,2,1,mother,1,1,3,5,4,5,1,2,5,0,5,0,0,0,1,1,0,1,2,2,1,0,1,0,0,1,1,1,0
145,15,1,1,father,1,2,0,4,4,2,1,2,5,0,8,11,11,0,0,1,0,1,2,3,0,0,1,1,0,1,1,1,0
146,15,3,2,father,1,2,3,3,3,2,1,1,3,0,6,7,0,0,0,1,0,1,1,3,1,0,1,0,0,1,1,1,0
147,15,1,2,mother,1,2,0,4,3,2,1,1,5,2,10,11,11,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0
148,16,4,4,mother,1,1,0,3,3,2,2,1,5,0,7,6,0,0,1,1,0,1,4,4,0,0,1,0,0,1,0,1,1
149,15,2,1,mother,4,1,3,4,5,5,2,5,5,0,8,9,10,0,1,1,1,0,3,2,0,0,0,0,0,1,1,1,0
150,18,1,1,mother,1,1,3,2,3,5,2,5,4,0,6,5,0,0,1,1,1,1,2,2,0,0,0,0,0,1,0,1,1
151,16,2,1,mother,1,1,1,4,4,4,3,5,5,6,12,13,14,0,1,1,1,1,0,2,0,0,0,0,1,1,1,0,1
152,15,3,3,other,2,3,2,4,2,1,2,3,3,8,10,10,10,0,0,0,0,1,3,3,3,0,1,1,1,1,1,1,1
153,19,3,2,mother,1,1,3,4,5,4,1,1,4,0,5,0,0,0,1,1,0,1,3,0,1,0,1,0,0,1,0,1,1
154,17,4,4,mother,1,1,0,4,2,1,1,1,4,0,11,11,12,0,0,1,0,1,2,4,0,1,1,0,0,1,1,0,1
155,15,2,3,mother,1,2,0,4,4,4,1,1,1,2,11,8,8,0,1,0,0,1,0,3,0,1,0,1,1,1,1,0,0
156,17,1,2,mother,1,1,0,2,2,2,3,3,5,8,16,12,13,0,1,0,1,1,2,2,3,0,0,0,0,1,1,0,0
157,18,1,1,mother,3,1,3,5,2,5,1,5,4,6,9,8,10,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0
158,16,2,2,mother,3,1,0,4,2,2,1,2,3,2,17,15,15,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0
159,16,3,3,father,1,2,1,4,5,5,4,4,5,4,10,12,12,0,1,1,0,1,2,3,0,0,1,1,0,1,1,1,1
160,17,2,1,mother,2,1,2,3,3,2,2,2,5,0,7,6,0,0,1,0,1,1,0,2,0,0,0,0,1,1,0,1,1
161,15,3,2,mother,2,2,2,4,4,4,1,4,3,6,5,9,7,0,1,0,0,1,2,2,0,1,1,0,0,1,1,1,1
162,16,1,2,mother,2,1,1,4,4,4,2,4,5,0,7,0,0,0,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0
163,17,1,3,father,1,1,0,5,3,3,1,4,2,2,10,10,10,0,1,1,0,1,0,3,0,0,0,0,0,1,0,1,0
164,17,1,1,mother,4,2,3,5,3,5,1,5,5,0,5,8,7,0,1,0,1,1,2,3,0,0,0,0,1,1,0,0,1
165,16,3,2,mother,2,1,1,4,5,2,1,1,2,16,12,11,12,0,1,1,0,1,3,3,0,0,1,0,1,0,0,0,0
166,16,2,2,father,1,2,0,4,3,5,2,4,4,4,10,10,10,0,1,1,0,1,2,2,0,0,0,0,0,1,0,1,0
167,16,4,2,father,1,2,0,4,2,3,1,1,3,0,14,15,16,0,0,1,0,1,1,3,1,0,0,1,0,1,1,1,1
168,16,2,2,mother,1,2,0,5,1,5,1,1,4,0,6,7,0,0,0,1,0,1,2,2,1,0,1,1,0,0,1,1,0
169,16,4,4,mother,1,2,0,4,4,2,1,1,3,0,14,14,14,0,0,1,0,1,1,1,3,0,1,1,0,1,1,1,1
170,16,3,4,father,3,1,2,3,4,5,2,4,2,0,6,5,0,0,1,1,0,1,2,2,0,0,1,0,1,0,1,1,0
171,16,1,0,mother,2,2,0,4,3,2,1,1,3,2,13,15,16,0,1,1,0,1,2,2,3,0,1,1,1,1,1,1,1
172,17,4,4,mother,1,2,0,4,4,4,1,3,5,0,13,11,10,0,1,1,1,1,4,2,3,0,1,1,1,1,1,1,0
173,16,1,3,mother,1,2,3,4,3,5,1,1,3,0,8,7,0,0,0,1,0,1,0,3,1,0,0,0,1,0,1,1,1
174,16,3,3,mother,2,2,0,4,4,5,1,1,4,4,10,11,9,0,0,1,1,1,2,2,3,0,1,1,1,1,1,1,0
175,17,4,3,mother,2,2,0,4,4,4,4,4,4,4,10,9,9,0,1,1,1,1,4,2,0,0,0,1,1,1,1,1,0
176,16,2,2,mother,2,2,0,3,4,4,1,4,5,2,13,13,11,0,0,1,0,1,3,2,3,0,0,1,1,0,1,1,0
177,17,3,3,father,1,2,0,4,3,4,1,4,4,4,6,5,6,0,1,1,0,1,2,2,3,0,0,0,1,0,1,1,0
178,16,4,2,mother,1,1,0,4,3,3,3,4,3,10,10,8,9,0,1,0,0,1,4,3,2,0,1,0,1,1,1,1,1
179,17,4,3,mother,1,2,0,5,2,3,1,1,2,4,10,10,11,0,1,1,0,1,2,2,0,0,1,0,1,1,1,1,1
180,16,4,3,mother,1,2,0,3,4,3,2,3,3,10,9,8,8,0,1,1,0,1,4,2,1,0,1,1,1,1,1,1,0
181,16,3,3,mother,1,2,0,4,2,3,1,2,3,2,12,13,12,0,1,1,0,1,3,2,1,0,0,1,1,1,1,1,1
182,17,2,4,father,1,2,0,5,4,2,2,3,5,0,16,17,17,0,0,1,0,1,3,3,3,0,1,0,1,1,1,0,0
183,17,3,3,mother,1,2,0,5,3,3,2,3,1,56,9,9,8,0,0,1,1,1,2,2,3,0,1,0,1,1,1,1,1
184,16,3,2,mother,1,2,0,1,2,2,1,2,1,14,12,13,12,0,0,1,0,1,2,2,3,0,1,1,0,1,1,1,0
185,17,3,3,mother,1,2,0,4,3,4,2,3,4,12,12,12,11,0,1,1,0,1,3,3,2,0,1,0,1,1,1,1,1
186,16,1,2,mother,1,1,0,3,3,3,1,2,3,2,11,12,11,0,1,1,0,1,3,3,2,0,1,1,1,1,1,1,1
187,16,2,1,mother,1,2,0,4,2,3,1,2,5,0,15,15,15,0,1,1,1,1,2,2,0,0,0,1,1,1,1,1,1
188,17,3,3,mother,1,2,0,3,3,3,1,3,3,6,8,7,9,0,0,1,0,0,1,2,3,0,1,0,0,0,1,1,1
189,17,1,2,mother,1,2,0,3,1,3,1,5,3,4,8,9,10,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0
190,16,2,3,mother,1,2,0,4,3,3,1,1,2,10,11,12,13,0,0,1,0,1,3,3,0,0,0,0,0,1,1,1,0
191,17,1,1,mother,1,2,0,5,3,3,1,1,3,0,8,8,9,0,0,1,0,1,0,3,0,0,0,0,1,1,1,1,0
192,17,1,2,other,2,2,0,4,4,4,4,5,5,12,7,8,8,0,1,1,0,1,0,3,2,0,0,1,1,0,1,1,0
193,16,3,3,mother,1,1,0,4,3,2,3,4,5,8,8,9,10,0,1,0,0,1,3,3,3,0,1,0,1,1,1,1,0
194,16,2,3,father,2,1,0,5,3,3,1,1,3,0,13,14,14,0,1,1,0,1,2,2,1,0,0,0,0,1,1,1,0
195,17,2,4,father,1,2,0,4,3,2,1,1,5,0,14,15,15,0,0,1,1,1,3,3,0,0,0,0,1,1,1,1,1
196,17,4,4,mother,1,1,0,5,2,3,1,2,5,4,17,15,16,0,1,1,0,1,3,4,1,0,0,0,0,1,1,1,0
197,16,3,3,father,3,1,0,3,3,4,3,5,3,8,9,9,10,0,1,0,1,1,4,2,1,0,1,1,1,1,1,1,0
198,17,4,4,mother,2,1,1,4,2,4,2,3,2,24,18,18,18,0,0,1,0,1,3,4,1,0,1,0,0,1,1,1,0
